Date : 2022-04-27 21:26:25
Directory : /Users/AmitBoost/Desktop/Programming/reminderApp/backend
Total : 149 files,  77911 codes, 20324 comments, 15254 blanks, all 113489 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/0ba51cae79241504c4d6ad8d56342d2c.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/0eba212e0e2688617f050943777ffe1b.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/1e7e54c106cd1864a0cc9cfa87fc6204.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/20b647c2369aba83085638d6fad99e03.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/23454c7ff6bcb7f35bd1dcc456d64fdc.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/251c066bd01260f27ef205ea8657fc22.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/25aa9f0ef460487c27c1a7ff25b870b6.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/278472786f813a6c8f3b8adc3d542a3c.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/297384c16644081f690428f84e3c0fca.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/369ae085cc2df0b609a54970418cb7c1.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/3b9570e2d4bd0045e480010126e4dc50.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/3ef1f9eedbe37cc84cc8cd88b79d681f.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/4302834906860b09eef7ee55d704c307.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/454d1c6e6c67d198e329ef624830f880.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/459367ffda0aa21a8090392bf25cf8d6.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/4b500ebaba628b46a2f20c59378444a5.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/4efc148689ef7d230c0b97816b724ba8.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/5486aa314ff637b12ee7c3b522d8cfc9.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/5594ecb05f0beb6d964a47ac266adf68.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/5dffbb174ea2e4d26321b04bfa316f07.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/669aa1c28303d29f3353fd50c8bd0911.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/72d5e6764e2bad1789ef5e22a25b2da6.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/76b34aa900ce1ed8d6e4740db613e25f.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/7770c08162c8730e9522c3aee1cc5964.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/78d250a7063851ef94e7322147ce85f0.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/7d7891fdc0001844557fff401add7973.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/7df581b1156a3438f71ad88ebaf2c5af.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/7e3b9db7e7b29d2e39cb5901347627e9.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/822d7bc873b1ec3b081813d174b1bd9b.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/828777e9e634ac696917774623450453.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/8b4529df582b41189ac38f4cdb3aef2c.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/8d18f0cf962a0f1f6464f39c0213a1a5.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/95e4eaa3cb3482a0e653789d54caec20.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/99fa99bf7fbf5af8acc1c86fc29cc010.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/9d4faad4575fbb104c37fe63c574262e.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/a0b8c8324ef45b44e13bfb12ce990afe.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/a5ac678bfb6fe3b9fc65df1948d5158c.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/a88715db829ce41aada5946c0116e370.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ac2744605df5c31d87a9178f526fbb82.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ac5571a95a0c7a477c32583f340762e9.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b4af696b383feb5ecebc3517252d15d4.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b65a456acb02ac04580b7af96944c792.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b67d74d8612f20664608cf9d41c8d9d2.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/baa09f5405070dbbe7f251b8dc5c1a36.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/bab3d3ee9a2a427e0a3d4030dedae40e.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/c2ab1302b8a3422e8989e83985506fd9.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ca54ce7c8000b9af10b5afefb47aeed8.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/cf76178f65929ce725ac303760f0575f.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/d573530fc14a43491d53e58234b83211.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/dbe6404f3e0f13da4979ee2f1ab5f007.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/e4e1f1456d45f627b6530f7f3860a305.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/e6ab16264960baa27d297c837dbc08f6.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ee25bc80c86243009bd09e9281167f36.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/f255061031fdd71da672c9f2efc46b5b.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/f80694c2f40b12e8b61a92d252e2e406.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/fa1ca3d826e1bb5975a5c630c11b6061.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/faf8a76f665688ffaf4537160738c83e.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/react-loadable-manifest.json                                  | JSON               |          8 |          0 |          0 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/init-server.js.js                                      | JavaScript         |         83 |         21 |          4 |        108 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/on-error-server.js.js                                  | JavaScript         |         83 |         21 |          4 |        108 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages-manifest.json                                    | JSON               |          7 |          0 |          0 |          7 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_app.js                                          | JavaScript         |        284 |        205 |        143 |        632 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_document.js                                     | JavaScript         |        149 |         81 |         50 |        280 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_error.js                                        | JavaScript         |         99 |         37 |         17 |        153 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/cart-items.js                                    | JavaScript         |         91 |         29 |         10 |        130 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/index.js                                         | JavaScript         |         95 |         33 |         13 |        141 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/next/dist/pages/_error.js                        | JavaScript         |         95 |         33 |         13 |        141 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/order-items.js                                   | JavaScript         |         91 |         29 |         10 |        130 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/orders.js                                        | JavaScript         |         91 |         29 |         10 |        130 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/reminders.js                                     | JavaScript         |         91 |         29 |         10 |        130 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/ssr-module-cache.js                                    | JavaScript         |          1 |          1 |          2 |          4 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/0.js                                            | JavaScript         |          7 |          4 |          4 |         15 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/amp.js                                          | JavaScript         |         52 |         44 |         34 |        130 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/main.js                                         | JavaScript         |      1,088 |        896 |        673 |      2,657 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/_app.js                                   | JavaScript         |      4,048 |      3,282 |      2,460 |      9,790 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/_error.js                                 | JavaScript         |        130 |        116 |         88 |        334 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/cart-items.js                             | JavaScript         |      3,977 |      3,222 |      2,414 |      9,613 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/index.js                                  | JavaScript         |      2,465 |      2,002 |      1,499 |      5,966 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/next/dist/pages/_error.js                 | JavaScript         |        130 |        116 |         88 |        334 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/order-items.js                            | JavaScript         |      3,977 |      3,222 |      2,414 |      9,613 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/orders.js                                 | JavaScript         |      3,977 |      3,222 |      2,414 |      9,613 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/reminders.js                              | JavaScript         |      3,977 |      3,222 |      2,414 |      9,613 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/polyfills.js                                    | JavaScript         |         20 |         16 |         13 |         49 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/react-refresh.js                                | JavaScript         |         23 |         16 |         13 |         52 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/webpack.js                                      | JavaScript         |        933 |         90 |          0 |      1,023 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/development/_buildManifest.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/development/_ssgManifest.js                            | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/160eb6a25eb88fa7bd22.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/3b0f02d0cd2f2b47fda3.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/470e889304199dd8ac82.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/4cc10cb552d266ba603e.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/8b16a2f6b8b479adcb37.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/9bca6ff0099398bc0483.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/b75c84204a7c17c89186.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/eec01100a7796eb03832.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/f42fcee7eb22efe5403f.hot-update.json           | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/next-env.d.ts                                                       | TypeScript         |          0 |          2 |          1 |          3 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/next.config.js                                                      | JavaScript         |          1 |          2 |          1 |          4 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/_app.js                                                       | JavaScript         |        205 |          0 |          7 |        212 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/api/__keystone_api_build.js                                   | JavaScript         |          4 |          0 |          1 |          5 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/cart-items/[id].js                                            | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/cart-items/index.js                                           | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/index.js                                                      | JavaScript         |         47 |          0 |          3 |         50 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/init.js                                                       | JavaScript         |         13 |          0 |          3 |         16 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/memberships/[id].js                                           | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/memberships/index.js                                          | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/no-access.js                                                  | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/order-items/[id].js                                           | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/order-items/index.js                                          | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/orders/[id].js                                                | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/orders/index.js                                               | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/reminders/[id].js                                             | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/reminders/index.js                                            | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/roles/[id].js                                                 | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/roles/index.js                                                | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/signin.js                                                     | JavaScript         |         14 |          0 |          2 |         16 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/users/[id].js                                                 | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/users/index.js                                                | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/tsconfig.json                                                       | JSON with Comments |         21 |          0 |          1 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/schema-types.ts                                                           | TypeScript         |      1,103 |          0 |         84 |      1,187 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/schema.graphql                                                            | GraphQL            |      1,102 |        171 |        224 |      1,497 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/access.ts                                                                           | TypeScript         |         48 |         15 |          7 |         70 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/keystone.ts                                                                         | TypeScript         |         74 |          9 |          5 |         88 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/lib/formatMoney.ts                                                                  | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/lib/mail.ts                                                                         | TypeScript         |         39 |          1 |          6 |         46 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/lib/pricing.ts                                                                      | TypeScript         |          6 |          1 |          1 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/lib/stripe.ts                                                                       | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/mutations/addToCart.ts                                                              | TypeScript         |         38 |          7 |          4 |         49 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/mutations/checkout.ts                                                               | TypeScript         |         91 |          9 |          4 |        104 |
